"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"MKKGY","Merck KGaA","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","3 stars"
"MKL","Markel Corp","Domestic","Financials","Insurance","Property & Casualty Insurance","3 stars"
"MLCO","Melco Resorts & Entertainment Ltd","International (ADR)","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","5 stars"
"MLM","Martin Marietta Materials Inc","Domestic","Materials","Construction Materials","Construction Materials","3 stars"
"MMC","Marsh & McLennan Companies Inc","Domestic","Financials","Insurance","Insurance Brokers","2 stars"
"MMM","3M Co","Domestic","Industrials","Industrial Conglomerates","Industrial Conglomerates","4 stars"
"MMP","Magellan Midstream Partners LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"MNST","Monster Beverage Corp","Domestic","Consumer Staples","Beverages","Soft Drinks","3 stars"
"MNTA","Momenta Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"MO","Altria Group Inc","Domestic","Consumer Staples","Tobacco","Tobacco","4 stars"
"MOS","Mosaic Co","Domestic","Materials","Chemicals","Fertilizers & Agricultural Chemicals","5 stars"
"MPC","Marathon Petroleum Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","5 stars"
"MPLX","MPLX LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","4 stars"
"MPWR","Monolithic Power Systems Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"MRK","Merck & Co Inc","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"MRO","Marathon Oil Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","5 stars"
"MRVL","Marvell Technology Group Ltd","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"MS","Morgan Stanley","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"MSCI","MSCI Inc","Domestic","Financials","Capital Markets","Financial Exchanges & Data","2 stars"
"MSFT","Microsoft Corp","Domestic","Information Technology","Software","Systems Software","4 stars"
"MSI","Motorola Solutions Inc","Domestic","Information Technology","Communications Equipment","Communications Equipment","2 stars"
"MSM","MSC Industrial Direct Co Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","5 stars"
"MT","ArcelorMittal SA","International (ADR)","Materials","Metals & Mining","Steel","4 stars"
"MTB","M&T Bank Corp","Domestic","Financials","Banks","Regional Banks","4 stars"
"MTCH","Match Group Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"MTD","Mettler-Toledo International Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","1 star"
"MU","Micron Technology Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"MUFG","Mitsubishi UFJ Financial Group Inc","International (ADR)","Financials","Banks","Diversified Banks","5 stars"
"MUR","Murphy Oil Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"MURGY","Muenchener Rueckversicherungs Gesellschaft AG in Muenchen","International (ADR)","Financials","Insurance","Reinsurance","3 stars"
"MXIM","Maxim Integrated Products Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"MYGN","Myriad Genetics Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"MYL","Mylan NV","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"NAV","Navistar International Corp","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","3 stars"
"NBL","Noble Energy Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"NBR","Nabors Industries Ltd","International (ADR)","Energy","Energy Equipment & Services","Oil & Gas Drilling","5 stars"
"NCLH","Norwegian Cruise Line Holdings Ltd","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","5 stars"
"NDAQ","Nasdaq Inc","Domestic","Financials","Capital Markets","Financial Exchanges & Data","2 stars"
"NDSN","Nordson Corp","Domestic","Industrials","Machinery","Industrial Machinery","3 stars"
"NE","Noble Corporation PLC","International (ADR)","Energy","Energy Equipment & Services","Oil & Gas Drilling","4 stars"
"NEE","Nextera Energy Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","1 star"
"NEM","Newmont Corporation","Domestic","Materials","Metals & Mining","Gold","2 stars"
"NFLX","Netflix Inc","Domestic","Communication Services","Entertainment","Movies & Entertainment","1 star"
"NGG","National Grid PLC","International (ADR)","Utilities","Multi-Utilities","Multi-Utilities","1 star"
"NGLOY","Anglo American PLC","International (ADR)","Materials","Metals & Mining","Diversified Metals & Mining","3 stars"
"NI","NiSource Inc","Domestic","Utilities","Multi-Utilities","Multi-Utilities","3 stars"
"NICE","Nice Ltd","International (ADR)","Information Technology","Software","Application Software","4 stars"
"NJR","New Jersey Resources Corp","Domestic","Utilities","Gas Utilities","Gas Utilities","4 stars"
"NKE","Nike Inc","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","4 stars"
"NKTR","Nektar Therapeutics","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"NLOK","NortonLifeLock Inc","Domestic","Information Technology","Software","Systems Software","3 stars"
"NMR","Nomura Holdings Inc","International (ADR)","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"NOC","NORTHROP GRUMMAN CORP","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","3 stars"
"NOK","Nokia Oyj","International (ADR)","Information Technology","Communications Equipment","Communications Equipment","4 stars"
"NOV","National Oilwell Varco Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"NOW","ServiceNow Inc","Domestic","Information Technology","Software","Systems Software","4 stars"
"NRG","NRG Energy Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"NSANY","Nissan Motor Co Ltd","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"NSC","Norfolk Southern Corp","Domestic","Industrials","Road & Rail","Railroads","4 stars"
"NSRGY","Nestle SA","International (ADR)","Consumer Staples","Food Products","Packaged Foods & Meats","2 stars"
"NTAP","NetApp Inc","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","3 stars"
"NTES","NetEase Inc","International (ADR)","Communication Services","Entertainment","Interactive Home Entertainment","3 stars"
"NTR","Nutrien Ltd","International (ADR)","Materials","Chemicals","Fertilizers & Agricultural Chemicals","5 stars"
"NTRS","Northern Trust Corp","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"NUE","Nucor Corp","Domestic","Materials","Metals & Mining","Steel","4 stars"
"NVDA","NVIDIA Corp","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","2 stars"
"NVO","Novo Nordisk A/S","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","2 stars"
"NVR","NVR Inc","Domestic","Consumer Discretionary","Household Durables","Homebuilding","2 stars"
"NVS","Novartis AG","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"NWS","News Corp","Domestic","Communication Services","Media","Publishing","4 stars"
"NWSA","News Corp","Domestic","Communication Services","Media","Publishing","4 stars"
"NXPI","NXP Semiconductors NV","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"NXST","Nexstar Media Group Inc","Domestic","Communication Services","Media","Broadcasting","4 stars"
"O","Realty Income Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","2 stars"
"OAS","Oasis Petroleum Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","5 stars"
"OC","Owens Corning","Domestic","Industrials","Building Products","Building Products","4 stars"
"ODFL","Old Dominion Freight Line Inc","Domestic","Industrials","Road & Rail","Trucking","1 star"
"OGE","OGE Energy Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"OI","O-I Glass Inc","Domestic","Materials","Containers & Packaging","Metal & Glass Containers","5 stars"
"OKE","ONEOK Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"OKTA","Okta Inc","Domestic","Information Technology","IT Services","Internet Services & Infrastructure","4 stars"
"OMAB","Grupo Aeroportuario del Centro Norte SAB de CV","International (ADR)","Industrials","Transportation Infrastructure","Airport Services","3 stars"
"OMC","Omnicom Group Inc","Domestic","Communication Services","Media","Advertising","4 stars"
"ON","ON Semiconductor Corp","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"ORA","Ormat Technologies Inc","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Renewable Electricity","2 stars"
"ORAN","Orange SA","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"ORCL","Oracle Corp","Domestic","Information Technology","Software","Systems Software","3 stars"
"ORLY","O'Reilly Automotive Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"OSK","Oshkosh Corp","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","4 stars"
"OXY","Occidental Petroleum Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","4 stars"
"PAA","Plains All American Pipeline LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"PAC","Grupo Aeroportuario del Pacifico SAB de CV","International (ADR)","Industrials","Transportation Infrastructure","Airport Services","3 stars"
"PAG","Penske Automotive Group Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"PAGP","Plains GP Holdings LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"PANW","Palo Alto Networks Inc","Domestic","Information Technology","Software","Systems Software","5 stars"
"PAYC","Paycom Software Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"PAYX","Paychex Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","3 stars"
"PBR","Petroleo Brasileiro SA Petrobras","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","4 stars"
"PCAR","Paccar Inc","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","4 stars"
"PCG","PG&E Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"PCTY","Paylocity Holding Corp","Domestic","Information Technology","Software","Application Software","2 stars"
"PDCO","Patterson Companies Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Distributors","3 stars"
"PDS","Precision Drilling Corp","International (ADR)","Energy","Energy Equipment & Services","Oil & Gas Drilling","5 stars"
"PE","Parsley Energy Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"PEAK","Healthpeak Properties Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","3 stars"
"PEB","Pebblebrook Hotel Trust","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","5 stars"
"PEG","Public Service Enterprise Group Inc","Domestic","Utilities","Multi-Utilities","Multi-Utilities","3 stars"
"PEGA","Pegasystems Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"PEP","PepsiCo Inc","Domestic","Consumer Staples","Beverages","Soft Drinks","3 stars"
"PFE","Pfizer Inc","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"PFGC","Performance Food Group Co","Domestic","Consumer Staples","Food & Staples Retailing","Food Distributors","3 stars"
"PG","Procter & Gamble Co","Domestic","Consumer Staples","Household Products","Household Products","2 stars"
"PGR","Progressive Corp","Domestic","Financials","Insurance","Property & Casualty Insurance","1 star"
"PH","Parker-Hannifin Corp","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"PHG","Koninklijke Philips NV","International (ADR)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","4 stars"
"PHM","PulteGroup Inc","Domestic","Consumer Discretionary","Household Durables","Homebuilding","3 stars"
"PII","Polaris Inc","Domestic","Consumer Discretionary","Leisure Products","Leisure Products","4 stars"
"PINC","Premier Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Services","3 stars"
"PINS","Pinterest Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","4 stars"
"PK","Park Hotels & Resorts Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","5 stars"
"PKG","Packaging Corp of America","Domestic","Materials","Containers & Packaging","Paper Packaging","3 stars"
"PKI","PerkinElmer Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"PKX","Posco","International (ADR)","Materials","Metals & Mining","Steel","4 stars"
"PLD","Prologis Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","3 stars"
"PM","Philip Morris International Inc","Domestic","Consumer Staples","Tobacco","Tobacco","4 stars"
"PNC","PNC Financial Services Group Inc","Domestic","Financials","Banks","Regional Banks","4 stars"
"PNR","Pentair PLC","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"PNW","Pinnacle West Capital Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"PODD","Insulet Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","2 stars"
"POR","Portland General Electric Co","Domestic","Utilities","Electric Utilities","Electric Utilities","1 star"
"POST","Post Holdings Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","3 stars"
"PPC","Pilgrims Pride Corp","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","4 stars"
"PPG","PPG Industries Inc","Domestic","Materials","Chemicals","Specialty Chemicals","2 stars"
"PPL","PPL Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
"PRAH","PRA Health Sciences Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"PRGO","Perrigo Company PLC","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","3 stars"
"PRU","Prudential Financial Inc","Domestic","Financials","Insurance","Life & Health Insurance","5 stars"
"PSA","Public Storage","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","3 stars"
"PSO","Pearson PLC","International (ADR)","Communication Services","Media","Publishing","4 stars"
"PSX","Phillips 66","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","5 stars"
"PTC","PTC Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"PTEN","Patterson-UTI Energy Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Drilling","5 stars"
"PTR","PetroChina Co Ltd","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","4 stars"
"PUK","Prudential PLC","International (ADR)","Financials","Insurance","Life & Health Insurance","4 stars"
"PVH","PVH Corp","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","5 stars"
"PXD","Pioneer Natural Resources Co","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"PYPL","PayPal Holdings Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","3 stars"
"QCOM","Qualcomm Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"QGEN","Qiagen NV","International (ADR)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"QRVO","Qorvo Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","2 stars"
"QSR","Restaurant Brands International Inc","International (ADR)","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"RACE","Ferrari NV","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","2 stars"
"RBA","Ritchie Bros. Auctioneers Inc","International (ADR)","Industrials","Commercial Services & Supplies","Diversified Support Services","2 stars"
"RBGLY","Reckitt Benckiser Group PLC","International (ADR)","Consumer Staples","Household Products","Household Products","4 stars"
"RBS","Royal Bank of Scotland Group PLC","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"RCI","Rogers Communications Inc","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","4 stars"
"RCL","Royal Caribbean Cruises Ltd","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","5 stars"
"RDSB","Royal Dutch Shell PLC","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"RDSA","Royal Dutch Shell PLC","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"RDY","Dr.Reddy's Laboratories Ltd","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","1 star"
"REG","Regency Centers Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","4 stars"
"REGN","Regeneron Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","2 stars"
"RELX","Relx PLC","International (ADR)","Industrials","Professional Services","Research & Consulting Services","3 stars"
"RES","RPC Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"RF","Regions Financial Corp","Domestic","Financials","Banks","Regional Banks","4 stars"
"RH","RH","Domestic","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","3 stars"
"RHHBY","Roche Holding AG","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"RHI","Robert Half International Inc","Domestic","Industrials","Professional Services","Human Resource & Employment Services","4 stars"
"RIG","Transocean Ltd","Domestic","Energy","Energy Equipment & Services","Oil & Gas Drilling","4 stars"
"RIO","Rio Tinto PLC","International (ADR)","Materials","Metals & Mining","Diversified Metals & Mining","3 stars"
"RJF","Raymond James Financial Inc","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"RL","Ralph Lauren Corp","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","4 stars"
"RMD","Resmed Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","1 star"
"RNG","RingCentral Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"ROK","Rockwell Automation Inc","Domestic","Industrials","Electrical Equipment","Electrical Components & Equipment","3 stars"
"ROP","Roper Technologies Inc","Domestic","Industrials","Industrial Conglomerates","Industrial Conglomerates","3 stars"
"ROST","Ross Stores Inc","Domestic","Consumer Discretionary","Specialty Retail","Apparel Retail","3 stars"
"RRC","Range Resources Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"RS","Reliance Steel & Aluminum Co","Domestic","Materials","Metals & Mining","Steel","2 stars"
"RSG","Republic Services Inc","Domestic","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","1 star"
"RTN","Raytheon Co","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","4 stars"
"RUSHA","Rush Enterprises Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","4 stars"
"RY","Royal Bank of Canada","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"RYCEY","Rolls-Royce Holdings PLC","International (ADR)","Industrials","Aerospace & Defense","Aerospace & Defense","4 stars"
"RYN","Rayonier Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","2 stars"
"S","Sprint Corp","Domestic","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","3 stars"
"SABR","Sabre Corp","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","5 stars"
"SAH","Sonic Automotive Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"SAM","Boston Beer Company Inc","Domestic","Consumer Staples","Beverages","Brewers","4 stars"
"SAN","Banco Santander SA","International (ADR)","Financials","Banks","Diversified Banks","5 stars"
"SAP","SAP SE","International (ADR)","Information Technology","Software","Application Software","4 stars"
"SBAC","SBA Communications Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","1 star"
"SBGI","Sinclair Broadcast Group Inc","Domestic","Communication Services","Media","Broadcasting","5 stars"
"SBUX","Starbucks Corp","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"SCGLY","Societe Generale SA","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"SCHN","Schnitzer Steel Industries Inc","Domestic","Materials","Metals & Mining","Steel","3 stars"
"SCHW","Charles Schwab Corp","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"SCRYY","Scor SE","International (ADR)","Financials","Insurance","Reinsurance","4 stars"
"SDVKY","Sandvik AB","International (ADR)","Industrials","Machinery","Industrial Machinery","2 stars"
"SEE","Sealed Air Corp","Domestic","Materials","Containers & Packaging","Paper Packaging","4 stars"
"SEIC","SEI Investments Co","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","3 stars"
"SF","Stifel Financial Corp","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"SFM","Sprouts Farmers Market Inc","Domestic","Consumer Staples","Food & Staples Retailing","Food Retail","4 stars"
"SGEN","Seattle Genetics Inc","Domestic","Health Care","Biotechnology","Biotechnology","3 stars"
"SHOP","Shopify Inc","International (ADR)","Information Technology","IT Services","Internet Services & Infrastructure","1 star"
"SHW","Sherwin-Williams Co","Domestic","Materials","Chemicals","Specialty Chemicals","1 star"
"SIEGY","Siemens AG","International (ADR)","Industrials","Industrial Conglomerates","Industrial Conglomerates","5 stars"
"SIRI","Sirius XM Holdings Inc","Domestic","Communication Services","Media","Cable & Satellite","3 stars"
"SJM","J M Smucker Co","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","3 stars"
"SJR","Shaw Communications Inc","International (ADR)","Communication Services","Media","Cable & Satellite","4 stars"
"SKM","SK Telecom Co Ltd","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","4 stars"
"SLB","Schlumberger NV","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"SLCA","U.S. Silica Holdings Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"SLF","Sun Life Financial Inc","International (ADR)","Financials","Insurance","Life & Health Insurance","3 stars"
"SLG","SL Green Realty Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","4 stars"
"SLGN","Silgan Holdings Inc","Domestic","Materials","Containers & Packaging","Metal & Glass Containers","3 stars"
"SMG","Scotts Miracle-Gro Co","Domestic","Materials","Chemicals","Fertilizers & Agricultural Chemicals","3 stars"
"SMGZY","Smiths Group PLC","International (ADR)","Industrials","Industrial Conglomerates","Industrial Conglomerates","4 stars"
"SMPL","Simply Good Foods Co","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","5 stars"
"SNA","Snap-On Inc","Domestic","Industrials","Machinery","Industrial Machinery","4 stars"
"SNAP","Snap Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","4 stars"
"SND","Smart Sand Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","3 stars"
"SNDR","Schneider National Inc","Domestic","Industrials","Road & Rail","Trucking","4 stars"
"SNE","Sony Corp","International (ADR)","Consumer Discretionary","Household Durables","Consumer Electronics","3 stars"
"SNN","Smith & Nephew PLC","International (ADR)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"SNP","China Petroleum & Chemical Corp","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","4 stars"
"SNPS","Synopsys Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"SNY","Sanofi SA","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"SO","Southern Co","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"SON","Sonoco Products Co","Domestic","Materials","Containers & Packaging","Paper Packaging","2 stars"
"SPG","Simon Property Group Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","5 stars"
"SPGI","S&P Global Inc","Domestic","Financials","Capital Markets","Financial Exchanges & Data","3 stars"
"SPH","Suburban Propane Partners LP","Domestic","Utilities","Gas Utilities","Gas Utilities","4 stars"
"SPLK","Splunk Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"SPOT","Spotify Technology SA","Domestic","Communication Services","Entertainment","Movies & Entertainment","3 stars"
"SQ","Square Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","2 stars"
"SQM","Sociedad Quimica y Minera de Chile SA","International (ADR)","Materials","Chemicals","Fertilizers & Agricultural Chemicals","5 stars"
"SRCL","Stericycle Inc","Domestic","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","4 stars"
"SRE","Sempra Energy","Domestic","Utilities","Multi-Utilities","Multi-Utilities","3 stars"
"SSNC","SS&C Technologies Holdings Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"SSREY","Swiss Re AG","International (ADR)","Financials","Insurance","Reinsurance","3 stars"
"ST","Sensata Technologies Holding PLC","Domestic","Industrials","Electrical Equipment","Electrical Components & Equipment","4 stars"
"STE","Steris plc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","4 stars"
"STLD","Steel Dynamics Inc","Domestic","Materials","Metals & Mining","Steel","4 stars"
"STM","STMicroelectronics NV","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"STT","State Street Corp","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"STX","Seagate Technology PLC","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","3 stars"
"STZ","Constellation Brands Inc","Domestic","Consumer Staples","Beverages","Distillers & Vintners","4 stars"
"SUM","Summit Materials Inc","Domestic","Materials","Construction Materials","Construction Materials","4 stars"
"SWGAY","Swatch Group AG","International (ADR)","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","4 stars"
"SWKS","Skyworks Solutions Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"SXT","Sensient Technologies Corp","Domestic","Materials","Chemicals","Specialty Chemicals","5 stars"
"SYF","Synchrony Financial","Domestic","Financials","Consumer Finance","Consumer Finance","4 stars"
"SYK","Stryker Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"SYNA","Synaptics Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"SYNH","Syneos Health Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"SYY","Sysco Corp","Domestic","Consumer Staples","Food & Staples Retailing","Food Distributors","3 stars"
"T","AT&T Inc","Domestic","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","3 stars"
"TAC","TransAlta Corp","International (ADR)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders","3 stars"
"TAP","Molson Coors Beverage Co","Domestic","Consumer Staples","Beverages","Brewers","4 stars"
"TCEHY","Tencent Holdings Ltd","International (ADR)","Communication Services","Interactive Media & Services","Interactive Media & Services","4 stars"
"TCOM","Trip.com Group Ltd","International (ADR)","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","5 stars"
"TD","Toronto-Dominion Bank","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"TDOC","Teladoc Health Inc","Domestic","Health Care","Health Care Technology","Health Care Technology","2 stars"
