"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"BLL","Ball Corp","Domestic","Materials","Containers & Packaging","Metal & Glass Containers","1 star"
"BMO","Bank of Montreal","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"BMRN","Biomarin Pharmaceutical Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"BMWYY","Bayerische Motoren Werke AG","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"BMY","Bristol-Myers Squibb Co","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","3 stars"
"BNPQY","BNP Paribas SA","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"BNS","Bank of Nova Scotia","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"BOX","Box Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"BP","BP PLC","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"BR","Broadridge Financial Solutions Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","4 stars"
"BRK","Berkshire Hathaway Inc","Domestic","Financials","Diversified Financial Services","Multi-Sector Holdings","4 stars"
"BSAC","Banco Santander-Chile","International (ADR)","Financials","Banks","Diversified Banks","3 stars"
"BSX","Boston Scientific Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"BTI","British American Tobacco PLC","International (ADR)","Consumer Staples","Tobacco","Tobacco","5 stars"
"BUD","Anheuser Busch Inbev NV","International (ADR)","Consumer Staples","Beverages","Brewers","5 stars"
"BURL","Burlington Stores Inc","Domestic","Consumer Discretionary","Specialty Retail","Apparel Retail","2 stars"
"BWA","BorgWarner Inc","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","5 stars"
"BXP","Boston Properties Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","3 stars"
"BYND","Beyond Meat Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","2 stars"
"C","Citigroup Inc","Domestic","Financials","Banks","Diversified Banks","4 stars"
"CABGY","Carlsberg A/S","International (ADR)","Consumer Staples","Beverages","Brewers","2 stars"
"CAG","Conagra Brands Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","4 stars"
"CAH","Cardinal Health Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Distributors","4 stars"
